Date,Close,Dividends,Regime,Bench_Returns,Bench_Cumprod,Asset_Count,Asset_Value,Balance,Account_Value,Performance_Returns,Performance_Cumprod
1992-08-14,419.91,0,LowVol,1.0052186819237308,1.0272273594598573,243.0,102038.13,19.720000000012078,102057.85000000002,1.0052176682891074,1.0205784999999998
1992-08-17,420.74,0,LowVol,1.001976614036341,1.0292577914770793,243.0,102239.82,19.720000000012078,102259.54000000002,1.0019762321075742,1.0225953999999997
1992-08-18,421.34,0,LowVol,1.0014260588486952,1.0307255736582037,243.0,102385.62,19.720000000012078,102405.34000000001,1.001425783843737,1.0240533999999994
1992-08-19,418.19,0,LowVol,0.9925238524706889,1.0230197172073012,243.0,101620.17,19.720000000012078,101639.89000000001,0.9925252921380858,1.0163988999999995
1992-08-20,418.26,0,LowVol,1.0001673880293647,1.0231909584617658,243.0,101637.18,19.720000000012078,101656.90000000001,1.0001673555530215,1.0165689999999994
1992-08-21,414.85,0,LowVol,0.9918471763974562,1.0148490630657092,243.0,100808.55,19.720000000012078,100828.27000000002,0.9918487579298603,1.0082826999999994
1992-08-24,410.72,0,LowVol,0.9900445944317223,1.0047458290523035,243.0,99804.96,19.720000000012078,99824.68000000002,0.99004654151063,0.9982467999999995
1992-08-25,411.61,0,LowVol,1.0021669263731983,1.0069230392876378,243.0,100021.23000000001,19.720000000012078,100040.95000000003,1.002166498304828,1.0004094999999995
1992-08-26,413.51,0,LowVol,1.00461602001895,1.0115710161945315,243.0,100482.93,19.720000000012078,100502.65000000001,1.0046151101124088,1.0050264999999994
1992-08-27,413.53,0,LowVol,1.0000483664240285,1.0116199422672356,243.0,100487.79,19.720000000012078,100507.51000000001,1.0000483569338718,1.0050750999999993
1992-08-28,414.84,0,LowVol,1.0031678475564045,1.014824600029357,243.0,100806.12,19.720000000012078,100825.84000000001,1.0031672260112703,1.0082583999999994
1992-08-31,414.03,0,LowVol,0.9980474399768585,1.0128430940848392,243.0,100609.29,19.720000000012078,100629.01000000001,0.9980478218678862,1.0062900999999993
1992-09-01,416.07,0,LowVol,1.004927179189914,1.017833553500662,243.0,101105.01,19.720000000012078,101124.73000000001,1.0049262136236856,1.0112472999999993
1992-09-02,417.98,0,LowVol,1.0045905737015406,1.0225059934439078,243.0,101569.14,19.720000000012078,101588.86000000002,1.0045896785089068,1.0158885999999994
1992-09-03,417.98,0,LowVol,1.0,1.0225059934439078,243.0,101569.14,19.720000000012078,101588.86000000002,1.0,1.0158885999999994
1992-09-04,417.08,0,LowVol,0.9978467869276041,1.0203043201722213,243.0,101350.44,19.720000000012078,101370.16000000002,0.9978472049002224,1.0137015999999994
1992-09-08,414.44,0,LowVol,0.9936702790831495,1.0138460785752743,243.0,100708.92,19.720000000012078,100728.64000000001,0.9936715104326559,1.0072863999999995
1992-09-09,416.36,0,LowVol,1.004632757455844,1.018542981554872,243.0,101175.48000000001,19.720000000012078,101195.20000000003,1.004631850484629,1.0119519999999997
1992-09-10,419.95,0,LowVol,1.0086223460466903,1.027325211605266,243.0,102047.84999999999,19.720000000012078,102067.57,1.0086206658023305,1.0206756999999997
1992-09-11,419.58,0,LowVol,0.9991189427312775,1.0264200792602394,243.0,101957.94,19.720000000012078,101977.66000000002,0.9991191129562506,1.0197766
1992-09-14,425.27,0,LowVol,1.0135611802278468,1.0403395469445682,243.0,103340.61,19.720000000012078,103360.33000000002,1.013558557825312,1.0336032999999998
1992-09-15,419.77,0,LowVol,0.9870670397629742,1.0268848769509287,243.0,102004.11,19.720000000012078,102023.83000000002,0.987069507227773,1.0202382999999997
1992-09-16,419.92,0,LowVol,1.0003573385425353,1.02725182249621,243.0,102040.56,19.720000000012078,102060.28000000001,1.0003572694732201,1.0206027999999998
1992-09-17,419.93,0,LowVol,1.000023814059821,1.0272762855325621,243.0,102042.99,19.720000000012078,102062.71000000002,1.0000238094584888,1.0206271
1992-09-18,422.93,0,LowVol,1.0071440478174933,1.0346151964381838,243.0,102771.99,19.720000000012078,102791.71000000002,1.00714266748355,1.0279170999999998
1992-09-21,422.14,0,LowVol,0.9981320785945664,1.03268261656637,243.0,102580.01999999999,19.720000000012078,102599.74,0.9981324369445744,1.0259973999999996
1992-09-22,417.14,0,LowVol,0.9881555881934904,1.020451098390334,243.0,101365.01999999999,19.720000000012078,101384.74,0.9881578647275324,1.0138473999999995
1992-09-23,417.44,0,LowVol,1.0007191830081028,1.0211849894808962,243.0,101437.92,19.720000000012078,101457.64000000001,1.0007190431222688,1.0145763999999995
1992-09-24,418.47,0,LowVol,1.0024674204676123,1.0237046822251599,243.0,101688.21,19.720000000012078,101707.93000000002,1.0024669408829143,1.0170792999999996
1992-09-25,414.35,0,LowVol,0.990154610844266,1.0136259112481063,243.0,100687.05,19.720000000012078,100706.77000000002,0.9901565197521963,1.0070676999999997
1992-09-28,416.62,0,LowVol,1.0054784602389284,1.0191790205000266,243.0,101238.66,19.720000000012078,101258.38000000002,1.0054773874685883,1.0125837999999996
